SMILES,Tg
Cc1cc2c3cc(C)c(cc3S(=O)(=O)c2cc1Oc1ccc(c(c1)C)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I)Oc1ccc(c(c1)C)I,555
Clc1c(ccc(c1Cl)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I)Cc1ccc(cc1)Cc1ccc(c(c1Cl)Cl)I,576
Ic1ccc(nc1)S(=O)(=O)c1ccc(c(c1Cl)Cl)S(=O)(=O)c1ccc(cn1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I,640
Ic1cccc(c1)Cc1ccc(cc1)C1(c2ccc(cc2)Cc2cccc(c2)N2C(=O)c3c(C2=O)cccc3c2ccc3c(c2)C(=O)N(C3=O)I)c2ccccc2c2c1cccc2,534
Ic1ccc(c(c1)C)Oc1ccc(nc1)Oc1ccc(cc1C)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I,517
Ic1ccc(c(c1)C)Oc1ccc(cn1)Oc1ccc(cc1C)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I,517
Ic1ccc(c(c1)C(=O)c1ccc(cc1C)C(=O)c1ccc(c(c1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I)C)C,527
O=C(c1ccc(c(c1)I)C)c1ccc(c(c1)C)C(=O)c1cc(ccc1C)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I,527
Ic1ccc(nc1)C(c1cccc(c1)C(c1ccc(cn1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I)(C)C)(C)C,514
Ic1cc(C)c(c(c1)C)Cc1cc2c(cc1C)c1c(S2(=O)=O)cc(c(c1)C)Cc1cc(C)c(c(c1)C)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,624
Cc1cc2c3cc(C)c(cc3S(=O)(=O)c2cc1Cc1c(C)cc(cc1C)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I)Cc1cc(C)c(c(c1)C)I,624
Clc1cc(Cc2ccc(cn2)n2c(=O)c3c(c2=O)cc2c(c3)c(=O)n(c2=O)I)cc(c1)Cc1ccc(nc1)I,526
Clc1cc(Cc2ccc(nc2)n2c(=O)c3c(c2=O)cc2c(c3)c(=O)n(c2=O)I)cc(c1)Cc1ccc(cn1)I,526
Ic1ccc(c(c1)C)Cc1ccc2c(c1)c1cc(ccc1C2(C)C)Cc1ccc(cc1C)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I,534
Clc1cc(Sc2ccc(c(c2)Cl)n2c(=O)c3c(c2=O)cc2c(c3)c(=O)n(c2=O)I)cc(c1)Sc1ccc(c(c1)Cl)I,488
O=C1c2cc(ccc2C(=O)N1c1ccc(c(c1Cl)Cl)Cc1ccc(c(c1Cl)Cl)I)c1ccc2c(c1)C(=O)N(C2=O)I,619
O=C1c2cccc(c2C(=O)N1c1ccc(c(c1)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)ccc(c2)C(C(F)(F)F)(C(F)(F)F)c1ccc(c(c1)I)C)C)c1ccc2c(c1)C(=O)N(C2=O)I,542
Ic1ccc(c(c1)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)ccc(c2)C(C(F)(F)F)(C(F)(F)F)c1ccc(c(c1)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I)C)C,542
Cc1cc(ccc1C(=O)c1ccc(c(c1)Cl)C(=O)c1ccc(c(c1)C)I)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I,563
Ic1ccc(c(c1)C)C(=O)c1ccc(c(c1)Cl)C(=O)c1ccc(c(c1)C)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I,563
Ic1ccc(c(c1)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1cc(ccc1C)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I)C,579
Ic1cccc(c1)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I,537
Ic1cc(cc(c1)C(c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)C(c1cc(cc(c1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I)C(=O)O)(C)C)(C)C)C(=O)O,549
Cc1cc(C)c(c(c1Cc1ccc(cn1)Cc1c(C)cc(c(c1C)I)C)C)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I,509
Cc1cc(C)c(c(c1Cc1ccc(nc1)Cc1c(C)cc(c(c1C)I)C)C)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I,509
FC(c1cc(cc(c1)S(=O)(=O)c1ccc(cc1)c1ccc(cc1)S(=O)(=O)c1cc(I)cc(c1)C(F)(F)F)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I)(F)F,580
Ic1ccc(cn1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(nc1)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I,569
O=C(c1ccc(c(c1)Cl)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I)c1ccc(nc1)C(=O)c1ccc(c(c1)Cl)I,590
O=C(c1ccc(c(c1)Cl)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I)c1ccc(cn1)C(=O)c1ccc(c(c1)Cl)I,590
Ic1ccc(nc1)Sc1ccc2c(c1)cc(cc2)Sc1ccc(cn1)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I,471
